OBJECTID,Projects,Ward,Units,Year Built,Address,City,State,Zipcode,Management Company,Property Manager Contact,Sponsored By,Sponsory Contact,Bondholder,Loan Status (Bonds Redeemed / Active / Recently Converted),Risk Share / Non Risk Share,Renovation / New Construction Year,Building Type,Construction Type,Occupancy Type,Subsidized Programs,Loan Closing Date,Original Loan Balance,Maturity Date,Compliance Period End Date,Asset Manager,MAR_LATITUDE,MAR_LONGITUDE,MARID,GlobalID,EditDate,x,y
192,Wesley House,Ward 5,127,2008,"3400 Commodore Hoshua Barney Drive, NE",Washington,DC,20018,Fort Lincoln Realty,"Rita H Harris 240-627-9735, ritahharris@msn.com",Union Wesley Housing Development Corporation,"Rita H. Harris 240-627-9735, ritahharris@msn.com",,Active,Risk Share ,2008,Low Rise 4 Floors,New Construction,Seniors 62+ 100 @ 60% AMI or less,,12/14/2006 12:00:00 AM,9060000,,12/10/2021 12:00:00 AM,Sidney,38.92545865,-76.95562644,306501,801ae6b9-939e-4d50-b672-eb25c0db8fff,10/13/2022 8:33:29 PM,403847.95758089,139731.492195256
193,Wheeler Creek,Ward 8,112,1962,"900 Carney Street, SE",Washington,DC,20032,E & G,Stephanie Edlemen  sedelen@eandgroup.com,,,,Redeemed,,1998,,Acquisition / Rehab,,,12/30/1998 12:00:00 AM,12000000,,12/26/2013 12:00:00 AM,Clarence,38.83552739,-76.99173058,278744,dffc16aa-e1da-4206-8d4e-1257388c92f8,10/13/2022 8:33:29 PM,400718.167539427,129747.534182162
194,Wheeler Terrace,Ward 8,116,1956,"1217 Valley Avenue, SE",Washington,DC,20032,"Enterprise Residential, LLC",Nina Rochelle - Wheelerterrmgr@emcmgmt.com,"Wheeler Terrace Development, LP / The Wilkes Company / Quadrangle Development Company ",,UNION BANK OF CALIFORNIA NA,Active,Non Risk Share,2013,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8 HAP Contract,8/1/2008 12:00:00 AM,8160000,1/1/2050,7/29/2023 12:00:00 AM,Clarence,38.83728504,-76.98966726,71378,de11e31e-1f5c-4964-8a73-d86585750f1d,10/13/2022 8:33:29 PM,400897.287535849,129942.663526595
195,Whitelaw Hotel,Ward 1,35,1919,"1839 13th Street, NW",Washington,DC,20009,WC Smith,George Pollard  gpollard@wcsmith.com ,"Manna, Inc / Historic Whitelaw, LLC",,,Active,Non Risk Share ,2012,Mid Rise 5 Floors ,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,,11/19/2012 12:00:00 AM,4460000,,11/16/2027 12:00:00 AM,Clarence,38.91532904,-77.02926796,240853,eb1daeab-1732-432f-a484-f8e49b95b9e2,10/13/2022 8:33:29 PM,397461.928279835,138606.492216516
196,Woodberry Village ,Ward 8,190,1949/2001,"2224 Savannah Terrace SE, ",Washington,DC,20020,Capital Realty Group,"Samson Rosner, samson@thecapitalrealty.com",The Capital Realty Group,"Fraidy Perlstein 845-356-7773 ext 121, fraidy@thecapitalrealty.com",,Under Construction,Non Risk Share,2020,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8/ HAP ,3/31/2020 12:00:00 AM,21500000,,3/28/2035 12:00:00 AM,Clarence,38.84930544,-76.97350779,155345,1514cecc-773b-4f92-9e4a-e1704be3e020,10/13/2022 8:33:29 PM,402299.867249777,131277.293999124
197,Woodmont Crossing,Ward 8,176,2001,"2327 Good Hope Rd SE,",Washington,DC,20020,CIH,"Rhonda Page, Rpage@cihproperties.com; 202-678-7600","Woodmont Crossing Investor, LLC","Kevin P. O'Malley, komalley@cihproperties.com",,Active,Risk Share ,,Garden,Acquisition / Rehab,Residential Families 100 @ 60% AMI or less,Section 8/ HAP,2/15/2018 12:00:00 AM,25545000,3/1/2058,2/11/2033 12:00:00 AM,Clarence,38.86216343,-76.97194972,289820,0a716135-906e-477b-8259-2832e0e2bf4c,10/13/2022 8:33:29 PM,402434.677732923,132704.663114768
198,The Todd A. Lee Residences at Kennedy Street,4,38,2020,"809 Kennedy St NW, Washington, DC 20011",Washington,DC,20011,Faria Management,"Monique Lily-Moore 202-560-9175, monique@fariamanagement.com","Dantes Partners, Gilbane","Stephen Vassor, stephen@dantespartners.com",JPMORGAN CHASE BANK NA,Under Construction,Non Risk Share,2020,Mid Rise,New Construction,Seniors 55+,,2/14/2020 12:00:00 AM,8200000,,2/10/2035 12:00:00 AM,Sidney,38.95657102,-77.02468645,254492,883c24d9-7f10-4018-911d-3760637f1230,10/13/2022 8:33:29 PM,397859.911489161,143180.987904576
199,D Street Apts,7,31,,"338 58th St NE, Washington DC 20019",Washington,DC,20019,,,,,,Under Construction,Non Risk Share,2020,,Acquisition / Rehab,,,10/23/2020 12:00:00 AM,1300000,,10/20/2035 12:00:00 AM,,38.8942906414888,-76.9180273801358,35356,0afe8b93-ea9a-4f43-8dbe-86510f777925,10/13/2022 8:33:29 PM,407109.764320692,136277.02727801
200,S Street Village,Ward 2,90,,614 S STREET NW,Washington,DC,20001,,,,,,UC,R,,MR5,NC,Families,,,,,,,,,,d5ec2866-6f08-4764-b351-ca18db097c7e,5/8/2024 5:24:14 PM,398205.922474491,138449.444711845
201,1530 First Street,6,101,2024,1530 First Street,Washington,District of Columbia,20001,TM associates,Warren Dungee,,,,,,,,,,,,,,,,,,,f476bbd5-940e-48ab-aac3-7c5532089571,5/17/2024 4:41:12 PM,398980.880032763,133705.868330339
202,Banner Lane Apts aka Sursum Corda,6,562,2023,44 Banner Lane,Washington,District of Columbia,20001,Toll Brothers,,L&M Development,,Citibank,A,NR,,HR9,NC,"80% Market, 20% Affordable",,12/10/2020 4:21:56 PM,23000000,,12/10/2035 4:22:58 PM,Fredericka Earle,,,,2718a173-3d3a-4226-9ea6-e8abb4715f1c,5/20/2024 3:23:32 PM,399089.068323485,137401.168363776
203,Worthing Woods,8,394,,"4419 3rd Street, SE",Washington,District of Columbia,20032,Residential One,,Anacostia Economic Development Corporation,,JP Morgan Chase,UC,NR,2023,G,AR,Residential 60% AMI or Less,LRSP,,63150000,,,,,,,28f704be-bc00-40f0-8598-17466fa31455,6/7/2024 12:59:32 PM,399840.334864584,128626.116549433
204,Fort Totten Senior ,4,93,2023,"5543 South Dakota Ave, NE",Washington,District of Columbia,20011,SL Nusbaum Realty Co.,,Arlington Partnership for Affordable Housing (APAH),,Grandbridge Real Estate Capital,UC,NR,2023,LR3,NC,"Seniors 62+, 50% @50 & 50 @ 30% AMI",LRSP,,,,,,,,,1e54dac0-c8a5-4bbf-a492-ecf43e605ba0,6/7/2024 1:08:22 PM,399868.401522505,143184.571652426
205,EucKal Apartments Building 1,1,25,2023,1724 KALORAMA ROAD NORTHWEST,Washington,District of Columbia,20009,Jubilee Management,,"JUBILEE HOUSING, INC",,HUD 221 (D) 4 - Gershman Investment,UC,NR,2023,LR3,AR,Residential Families 68% @ 30% and 32% @ 50% AMI,,,31515000,,,,,,,a8b3aab7-35d3-4f85-88e0-21a21dc63b3d,6/7/2024 1:23:13 PM,396578.667398659,139214.968291088
206,EucKal Building 2,1,25,2023,"1460 Euclid Street, NW",Washington,District of Columbia,20009,Jubilee Management,,"Jubilee Housing, Inc.",,JP Morgan Chase,UC,NR,2023,LR3,AR,Residential Families 68% @ 30% and 32% @ 50% AMI,,,31515000,,,,,,,41529721-d499-4bfc-a534-e4c68fe9ccf7,6/7/2024 1:27:45 PM,397015.835311777,139497.221063755
207,3450 Eads,7,49,2023,3450 Eads Street NE,Washington,District of Columbia,20019,Residential One,,Neighborhood Development Company (NDC,Michaela Cancel,Bank of Ameica,UC,NR,2023,LR4,NC,"Residential 80,60,50, & 30% AMI",,,,,,,,,,2805d703-9e3e-4fce-9f5e-52e01c567db2,6/7/2024 1:39:03 PM,403836.336679173,136415.44519542
208,Alabama Avenue Apts,8,86,2023,"2481-2483 Alabama Avenue, SE , Washington, DC, 20020",W,District of Columbia,20020,Residential One,,"Durrani Development Corporation - Enterprise Community Development, Inc.",,"R4 Capital Funding, LLC",UC,NR,2023,MR4,NC,Residential Families - 70% at 50% AMI  10% at 60% AMI  20% at 30% AMI ,,,,,,,,,,eae139a0-f50d-42f1-bddf-97e7e3408520,6/7/2024 2:08:40 PM,402628.674384271,131989.319613186
209,EDGEWOOD 611/GARDENS APARTMENTS,5,300,,611/415 Edgewood Street,Washington,District of Columbia,20017,Enterprise Residential,,"ENTERPRISE COMMUNITY DEVELOPMENT, INC.",,"Bellwether Enterprise Real Estate Capital, LLC",UC,NR,2023,,R,Residential Families 75% @60% and 25% @ 80% AMI,Section 8 HAP Contract,,56660000,,,,,,,685989cd-88af-420e-bc77-a98c9d6e7cce,6/7/2024 2:55:11 PM,399990.169075042,139450.701240467
210,KENILWORTH 166,7,166,2023,4501 Quarles Street NE,Washington,District of Columbia,20019,Michaels Management Affordable (AKA Interstate Realty Management),,The Michaels Development Company The Warrenton Group District of Columbia Housing Authority,,GrandBridge Real Estate,UC,NR,2023,LR4,NC,Seniors 55+ -100 @ 50% AMI,"LRSP, PSH",,,,,,,,,4b0fd8b5-075d-4d88-808c-ff66db5cbe42,6/7/2024 3:02:31 PM,405567.528708837,138345.374012277
211,NorthWest Phase II,6,212,2023,33 K Street Northwest,Washington,District of Columbia,20001,Residential One,,"MidAtlantic Realty Partners (MRP) Taylor Adams Associates, LLC (TAA) CSG Urban Partners, LLC (CSG)",,JP Morgan Chase,UC,NR,2023,,,,,,,,,,,,,87511eec-7c57-4e7b-8499-5bec8323b332,6/11/2024 5:14:27 PM,399096.076935434,137229.429223142
212,Parcel 42,2,110,2023,"1707 7th Street, NW, Washington, DC, 20001",Washington,District of Columbia,20001,Faria Management,,Dantes Partner,Corey Powell,Wells Fargo,UC,NR,2024,HR11,NC,"Residential Families 30,40,60, and 80% AMI",,,,,,,,,,92c5554a-33be-42f6-a63d-ac8b9ae2f20d,6/11/2024 5:54:44 PM,398123.392170184,138331.26902083
213,Ridgecrest Village Apts,8,140,,"2000 Ridgecrest Court, SE",Washington,District of Columbia,20020,WC Smith,,NHP,,JP Morgan Chase,UC,NR,2023,G4,AR,"Residential Families 30%, 50%, 60%, and 80% AMI",LRSP,,,,,,,,,a09af2bf-a3ba-4274-89aa-e21c6386df59,6/11/2024 6:02:47 PM,402165.823044828,131118.686053487
214,The Residences at Southern Ave ,8,152,2023,"4656 Livingston Road, SE",Washington,District of Columbia,20032,Faria Management and Priority Life Care,,"Dantes Partners, Gilbane Development Company, The Carding Group, H Street CDC",,Piper Jaffray,UC,NR,2022,MR5,NC,"Seniors 60+, 100% @60% AMI",,,,,,,,,,2a2e16a6-fc84-4255-8a61-e1aaef5f6b50,6/11/2024 6:21:33 PM,399860.417565807,128273.448053386
215,Shepard Park Apts ,4,66,2023,7428 Georgia Ave ,Washington,District of Columbia,20012,Residential One,,Lock 7 Development,,JP Morgan Chase,UC,NR,New Construction,LR,NC,"Residential Families 30,50, & 60% AMI",,,,,,,,,,e0539901-97b3-4866-b3a3-b84a8bb5f9d6,6/11/2024 6:29:27 PM,397662.907403386,145855.468481066
216,The Paxton,7,148,2023,1611 Benning Road Northeast,Washington,District of Columbia,20002,TM Associates and Folger-Pratt,,Folger-Pratt,Bob Tegan,Capital One,UC,NR,2023,MR6,NC,Residential Families 90% @ 50% and 10% @ 30% AMI,"PSH, LRSP",,,,,,,,,5fb0be5e-3ccc-4191-b33f-8749b8521ae2,6/12/2024 2:24:53 AM,401637.741245052,136834.335496737
